timestamp,sensor_temp,setpoint,gas_flow,air_flow,furnace_load,ambient_temp,gas_pressure,energy_consumption
01/02/2026 00:00,730.005,780,92.446,90.584,679.274,19.064,5.023,437.501
01/02/2026 00:00,733.535,780.001,92.446,90.584,768.807,18.913,5.007,438.777
01/02/2026 00:00,736.839,780.002,87.769,88.591,675.378,19.801,4.985,412.699
01/02/2026 00:01,739.829,780.003,86.147,89.818,729.407,18.34,5.018,409.782
01/02/2026 00:01,742.579,780.005,84.413,90.456,717.542,19.761,4.972,396.238
01/02/2026 00:01,745.131,780.006,81.889,86.638,730.686,19.558,4.991,386.958
01/02/2026 00:02,747.441,780.007,81.723,86.424,754.997,19.022,4.98,385.759
01/02/2026 00:02,749.588,780.008,77.289,85.88,686.521,19.31,4.93,362.759
01/02/2026 00:02,752.768,780.009,77.328,83.216,718.51,18.742,5.061,372.081
01/02/2026 00:03,755.631,780.01,77.263,84.662,733.338,18.954,5.07,372.521
01/02/2026 00:03,758.237,780.012,74.782,84.774,698.055,19.114,4.975,353.23
01/02/2026 00:03,760.541,780.013,75.838,83.829,692.494,19.517,4.93,355.053
01/02/2026 00:04,762.663,780.014,71.043,80.867,781.373,19.129,5.101,345.535
01/02/2026 00:04,764.657,780.015,69.316,78.95,686.217,19.836,4.927,324.318
01/02/2026 00:04,766.429,780.016,68.837,79.011,726.202,19.591,4.998,327.872
01/02/2026 00:05,768.055,780.017,67.942,82.099,708.879,18.866,5.072,328.894
01/02/2026 00:05,769.502,780.019,66.412,79.018,740.272,19.127,5.067,320.47
01/02/2026 00:05,770.855,780.02,64.569,80.999,720.947,18.861,4.97,306.589
01/02/2026 00:06,771.97,780.021,63.666,78.192,690.208,18.902,4.975,302.719
01/02/2026 00:06,773.037,780.022,64.263,78.672,740.943,18.603,5.026,308.838
01/02/2026 00:06,774.061,780.023,63.855,80.452,729.882,19.909,5.014,306.71
01/02/2026 00:07,774.974,780.024,63.354,78.411,750.546,20.064,5.029,307
01/02/2026 00:07,775.798,780.026,62.639,77.064,706.373,19.243,5.032,302.513
01/02/2026 00:07,776.547,780.027,63.088,80.798,744.548,18.48,5.017,302.573
01/02/2026 00:08,777.2,780.028,59.838,75.657,702.293,19.077,5.008,287.473
01/02/2026 00:08,777.756,780.029,59.93,77.786,746.181,19.057,5.045,288.497
01/02/2026 00:08,778.28,780.03,61.443,77.158,717.355,19.446,5.029,296.509
01/02/2026 00:09,778.781,780.031,62.375,75.211,759.6,19.415,5.011,299.815
01/02/2026 00:09,779.236,780.033,59.844,77.623,757.472,18.546,4.998,286.866
01/02/2026 00:09,779.639,780.034,57.132,74.833,717.152,18.706,5.034,275.431
01/02/2026 00:10,779.958,780.035,59.807,75.167,749.444,19.401,5.035,288.457
01/02/2026 00:10,780.243,780.036,60.774,76.536,761.602,19.236,5,291.62
01/02/2026 00:10,780.505,780.037,57.791,74.722,786.02,19.048,5.034,279.737
01/02/2026 00:11,780.689,780.038,59.066,75.749,743.147,19.43,5.016,283.487
01/02/2026 00:11,780.938,780.04,57.096,74.719,699.956,19.667,5.087,277.725
01/02/2026 00:11,781.141,780.041,58.81,76.774,750.513,19.705,5.011,281.816
01/02/2026 00:12,781.292,780.042,57.163,73.589,704.475,19.244,5.054,277.504
